City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ancud,CL,75.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
7,Micheweni,TZ,81.54,light rain,-4.9667,39.8333,
10,Rikitea,PF,74.12,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Mataura,NZ,71.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
17,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Aborlan,PH,77.38,overcast clouds,9.4352,118.5492,Kevina Transient House
25,Boyolangu,ID,76.32,overcast clouds,-8.1181,111.8935,Yos ega cv
29,Hermanus,ZA,74.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Conceicao Do Araguaia,BR,78.06,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
35,Garowe,SO,71.51,clear sky,8.4054,48.4845,Curubo Hotel
38,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
42,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
43,Am Timan,TD,78.4,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
44,Castro,BR,78.51,clear sky,-24.7911,-50.0119,CHACARA BAILLY
46,Atuona,PF,77.7,clear sky,-9.8,-139.0333,Villa Enata
48,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
51,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
52,Kavieng,PG,81.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
54,Adrar,MR,73.13,overcast clouds,20.5022,-10.0711,
57,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Coihaique,CL,75.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
63,Hambantota,LK,75.78,broken clouds,6.1241,81.1185,Bungalow 63
67,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
69,Daru,PG,79.09,overcast clouds,-9.0763,143.2092,Daru Lodge
72,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
80,Charleville,AU,77.07,broken clouds,-26.4,146.25,Cosmos Country Motor Inn
81,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
85,Merauke,ID,79.03,overcast clouds,-8.4667,140.3333,
86,La Asuncion,VE,83.93,broken clouds,11.0333,-63.8628,Colinas de Matasiete
90,Campina Verde,BR,81.46,scattered clouds,-19.5356,-49.4864,Hotel Lino
91,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
92,Faanui,PF,79.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
97,Caravelas,BR,74.98,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
98,Cayenne,GF,84.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
106,Guarapari,BR,71.49,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
110,Cidreira,BR,73.22,clear sky,-30.1811,-50.2056,Hotel Castelo
112,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
113,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
116,Tuy Hoa,VN,70.79,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
118,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
119,Sinnamary,GF,81.72,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
123,Cockburn Town,TC,79.12,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
125,Chuy,UY,76.21,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
129,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
133,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
134,Sao Filipe,CV,72.19,overcast clouds,14.8961,-24.4956,Hotel Xaguate
143,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Yei,SS,76.37,broken clouds,4.095,30.6779,City Link Hotel
146,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
157,Bluff,NZ,72.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
161,Davila,PH,76.53,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
163,Porto Nacional,BR,82.4,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
166,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
171,Lazaro Cardenas,MX,84.92,scattered clouds,17.9583,-102.2,quinta antigua
172,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
173,Buala,SB,80.71,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
174,Bocaiuva,BR,76.71,light rain,-17.1078,-43.815,Hotel Maxim's
175,Loandjili,CG,80.71,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
176,Nelson Bay,AU,77.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
177,Hualmay,PE,73.0,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
179,Kokopo,PG,76.69,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
180,Ca Mau,VN,73.45,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
187,Huarmey,PE,73.53,overcast clouds,-10.0681,-78.1522,Hotel Miramar
188,Bac Lieu,VN,73.89,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
196,Vao,NC,76.51,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
197,Mar Del Plata,AR,80.62,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
200,Puerto Lempira,HN,82.54,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
201,Dwarka,IN,70.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
203,Coracao De Jesus,BR,75.92,scattered clouds,-16.6853,-44.365,Hotel Neves
204,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
205,Rio De Janeiro,BR,79.92,few clouds,-22.9028,-43.2075,Hotel Málaga
206,Kupang,ID,80.19,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
209,Pontal Do Parana,BR,82.72,few clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
211,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
225,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
228,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
230,Sungairaya,ID,77.88,overcast clouds,0.7,108.9,Mess P.Milu
231,Kota Tinggi,MY,78.84,overcast clouds,1.7381,103.8999,Canopy Tribe
241,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
243,Coahuayana,MX,76.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
245,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
249,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
261,Boundiali,CI,78.67,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
264,Latung,PH,82.42,overcast clouds,5.5,120.8833,
266,Lodwar,KE,83.14,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
267,Rafai,CF,76.37,overcast clouds,4.95,23.9167,
268,Yaan,NG,79.83,few clouds,7.3833,8.5667,
274,Tuatapere,NZ,72.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
276,Celestun,MX,81.27,scattered clouds,20.8667,-90.4,Posada Lilia
278,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
279,Poum,NC,79.25,scattered clouds,-20.2333,164.0167,Gîte kajeon
280,Butaritari,KI,82.04,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
284,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
285,Bandarbeyla,SO,77.63,few clouds,9.4942,50.8122,JABIR HOTEL
291,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
294,Biak,ID,76.39,overcast clouds,-0.9131,122.8766,Penginapan Kim
299,Hervey Bay,AU,73.51,few clouds,-25.2986,152.8535,Shelly Bay Resort
303,Pandan,PH,78.1,overcast clouds,14.0453,124.1694,Bonifacio Lodge
305,Trinidad,BO,76.98,overcast clouds,-14.8333,-64.9,Hotel Piesta
