City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-12-19 20:19:08,light intensity drizzle,-54.8,-68.3,42.46,87,75,18.41
1,Los Llanos De Aridane,ES,2021-12-19 20:22:14,few clouds,28.6585,-17.9182,65.95,81,20,4.0
2,Ancud,CL,2021-12-19 20:22:15,broken clouds,-41.8697,-73.8203,75.22,68,53,6.29
3,Esperance,AU,2021-12-19 20:22:15,clear sky,-33.8667,121.9,58.44,69,0,2.37
4,Ciudad Bolivar,VE,2021-12-19 20:22:15,overcast clouds,8.1222,-63.5497,85.6,61,99,13.33
5,Saskylakh,RU,2021-12-19 20:22:16,overcast clouds,71.9167,114.0833,-9.72,97,100,10.85
6,Barrow,US,2021-12-19 20:20:02,overcast clouds,71.2906,-156.7887,-2.18,71,90,21.85
7,Micheweni,TZ,2021-12-19 20:22:16,light rain,-4.9667,39.8333,81.54,83,17,9.44
8,Livingston,GB,2021-12-19 20:19:32,broken clouds,55.9029,-3.5226,38.84,99,75,2.3
9,Albany,US,2021-12-19 20:20:47,broken clouds,42.6001,-73.9662,30.45,71,63,11.01
10,Rikitea,PF,2021-12-19 20:12:59,overcast clouds,-23.1203,-134.9692,74.12,84,100,17.45
11,Bredasdorp,ZA,2021-12-19 20:22:17,broken clouds,-34.5322,20.0403,66.27,88,64,9.22
12,Jalu,LY,2021-12-19 20:22:17,clear sky,29.0331,21.5482,49.96,61,3,12.44
13,Cody,US,2021-12-19 20:17:43,clear sky,44.5263,-109.0565,48.42,32,1,11.5
14,Demyansk,RU,2021-12-19 20:22:18,overcast clouds,57.643,32.466,17.83,94,100,8.68
15,Mataura,NZ,2021-12-19 20:13:00,overcast clouds,-46.1927,168.8643,71.47,42,100,11.14
16,Busselton,AU,2021-12-19 20:22:18,broken clouds,-33.65,115.3333,52.09,89,60,8.37
17,Saint-Philippe,RE,2021-12-19 20:22:19,light rain,-21.3585,55.7679,80.19,80,100,2.66
18,Umm Lajj,SA,2021-12-19 20:22:19,overcast clouds,25.0213,37.2685,68.54,56,96,9.01
19,Muzhi,RU,2021-12-19 20:22:19,overcast clouds,65.3667,64.6667,-17.37,94,100,11.92
20,Jardim,BR,2021-12-19 20:22:20,broken clouds,-21.4803,-56.1381,89.73,54,53,6.04
21,Kaitangata,NZ,2021-12-19 20:22:20,overcast clouds,-46.2817,169.8464,62.6,64,100,4.65
22,Aborlan,PH,2021-12-19 20:22:20,overcast clouds,9.4352,118.5492,77.38,87,98,3.78
23,Sitka,US,2021-12-19 20:22:21,clear sky,57.0531,-135.33,30.09,80,1,8.05
24,Clyde River,CA,2021-12-19 20:22:21,overcast clouds,70.4692,-68.5914,-3.32,98,100,3.22
25,Boyolangu,ID,2021-12-19 20:19:08,overcast clouds,-8.1181,111.8935,76.32,93,100,1.23
26,Nome,US,2021-12-19 20:22:22,light rain,64.5011,-165.4064,33.87,100,90,16.11
27,Praia Da Vitoria,PT,2021-12-19 20:22:22,scattered clouds,38.7333,-27.0667,57.45,94,40,9.98
28,Nemuro,JP,2021-12-19 20:22:22,scattered clouds,43.3236,145.575,28.63,48,44,2.48
29,Hermanus,ZA,2021-12-19 20:22:23,overcast clouds,-34.4187,19.2345,74.89,77,100,11.83
30,Fuerte Olimpo,PY,2021-12-19 20:22:23,moderate rain,-21.0415,-57.8738,89.49,54,98,5.03
31,Sibut,CF,2021-12-19 20:22:23,overcast clouds,5.718,19.0739,85.69,29,100,3.91
32,Kodiak,US,2021-12-19 20:22:24,clear sky,57.79,-152.4072,27.91,86,1,0.0
33,Punta Arenas,CL,2021-12-19 20:15:36,scattered clouds,-53.15,-70.9167,50.11,57,40,29.93
34,Conceicao Do Araguaia,BR,2021-12-19 20:22:24,heavy intensity rain,-8.2578,-49.2647,78.06,89,100,3.09
35,Garowe,SO,2021-12-19 20:22:24,clear sky,8.4054,48.4845,71.51,73,8,14.25
36,Sakakah,SA,2021-12-19 20:22:25,overcast clouds,29.9697,40.2064,51.37,52,100,7.23
37,Tasiilaq,GL,2021-12-19 20:19:08,overcast clouds,65.6145,-37.6368,28.56,76,92,10.42
38,Vaini,TO,2021-12-19 20:22:25,scattered clouds,-21.2,-175.2,84.36,84,40,12.66
39,Kushiro,JP,2021-12-19 20:22:26,overcast clouds,42.975,144.3747,25.23,67,100,3.87
40,Chumikan,RU,2021-12-19 20:22:26,broken clouds,54.7183,135.315,-16.6,89,52,13.65
41,Shellbrook,CA,2021-12-19 20:22:26,overcast clouds,53.2168,-106.4011,0.63,87,100,15.12
42,Alice Springs,AU,2021-12-19 20:22:27,clear sky,-23.7,133.8833,72.95,31,1,8.05
43,Am Timan,TD,2021-12-19 20:22:27,clear sky,11.0297,20.2827,78.4,23,0,4.05
44,Castro,BR,2021-12-19 20:23:27,clear sky,-24.7911,-50.0119,78.51,40,3,3.85
45,East London,ZA,2021-12-19 20:23:28,broken clouds,-33.0153,27.9116,69.93,83,78,18.1
46,Atuona,PF,2021-12-19 20:23:28,clear sky,-9.8,-139.0333,77.7,74,1,14.41
47,Belaya Gora,RU,2021-12-19 20:23:28,overcast clouds,68.5333,146.4167,-37.5,97,100,5.5
48,Hithadhoo,MV,2021-12-19 20:23:29,broken clouds,-0.6,73.0833,82.06,72,66,3.38
49,Tuktoyaktuk,CA,2021-12-19 20:23:29,broken clouds,69.4541,-133.0374,-22.0,76,75,9.22
