City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2021-12-17 04:24:06,-24.8667,113.6333,78.87,50,30,19.57
1,Hamilton,US,2021-12-17 04:28:56,39.1834,-84.5333,47.05,84,1,1.01
2,Vaini,TO,2021-12-17 04:31:22,-21.2,-175.2,84.36,89,20,9.22
3,Salinas,US,2021-12-17 04:21:32,36.6777,-121.6555,51.24,80,1,3.44
4,Kalmunai,LK,2021-12-17 04:31:22,7.4167,81.8167,82.09,74,98,8.01
5,Albany,US,2021-12-17 04:30:37,42.6001,-73.9662,62.8,60,99,3.0
6,Vardo,NO,2021-12-17 04:21:35,70.3705,31.1107,30.4,76,100,12.41
7,New Norfolk,AU,2021-12-17 04:31:23,-42.7826,147.0587,76.75,31,60,3.0
8,Rikitea,PF,2021-12-17 04:31:23,-23.1203,-134.9692,75.51,74,85,19.3
9,Upata,VE,2021-12-17 04:31:23,8.0086,-62.3989,73.18,97,97,2.8
10,Atuona,PF,2021-12-17 04:31:23,-9.8,-139.0333,78.15,71,23,12.28
11,Tambura,SS,2021-12-17 04:31:24,5.6,27.4667,73.31,28,98,3.49
12,Provideniya,RU,2021-12-17 04:25:17,64.3833,-173.3,17.71,79,75,8.95
13,Hilo,US,2021-12-17 04:31:24,19.7297,-155.09,74.93,43,1,3.44
14,Lorengau,PG,2021-12-17 04:21:37,-2.0226,147.2712,83.53,76,100,1.48
15,Klaksvik,FO,2021-12-17 04:26:41,62.2266,-6.589,47.32,91,100,18.61
16,General Pico,AR,2021-12-17 04:31:25,-35.6566,-63.7568,68.49,43,3,14.88
17,Yellowknife,CA,2021-12-17 04:31:25,62.456,-114.3525,-19.59,94,90,4.61
18,Port Elizabeth,ZA,2021-12-17 04:24:04,-33.918,25.5701,55.69,71,0,3.44
19,Brae,GB,2021-12-17 04:21:38,60.3964,-1.353,48.11,95,100,16.13
20,Jamestown,US,2021-12-17 04:27:43,42.097,-79.2353,51.08,66,1,4.0
21,East London,ZA,2021-12-17 04:23:41,-33.0153,27.9116,58.14,82,20,6.91
22,Elizabeth City,US,2021-12-17 04:31:26,36.2946,-76.2511,63.05,82,75,1.99
23,Kapaa,US,2021-12-17 04:31:26,22.0752,-159.319,78.78,82,20,10.36
24,Sinnamary,GF,2021-12-17 04:31:27,5.3833,-52.95,76.77,90,94,6.02
25,Yate,GB,2021-12-17 04:31:27,51.5407,-2.4184,48.61,91,0,3.87
26,Kaoma,ZM,2021-12-17 04:31:27,-14.7833,24.8,67.12,92,100,1.34
27,Bengkulu,ID,2021-12-17 04:26:27,-3.8004,102.2655,75.97,92,100,1.92
28,Awbari,LY,2021-12-17 04:31:28,26.5921,12.7805,47.44,62,0,4.34
29,Candolim,IN,2021-12-17 04:31:28,15.5181,73.7626,80.6,50,99,10.36
30,Isangel,VU,2021-12-17 04:27:50,-19.55,169.2667,82.51,61,75,11.5
31,Mataura,NZ,2021-12-17 04:31:29,-46.1927,168.8643,53.47,97,48,11.12
32,Atar,MR,2021-12-17 04:22:49,20.5169,-13.0499,66.7,20,6,1.63
33,Punta Arenas,CL,2021-12-17 04:30:35,-53.15,-70.9167,51.91,76,0,20.71
34,Bathsheba,BB,2021-12-17 04:31:29,13.2167,-59.5167,79.41,69,40,26.46
35,Saint Anthony,US,2021-12-17 04:25:24,45.0205,-93.218,19.33,71,1,4.0
36,Tucuman,AR,2021-12-17 04:31:30,-26.8241,-65.2226,73.4,83,0,5.75
37,Umarga,IN,2021-12-17 04:31:30,17.8333,76.6167,76.14,36,100,8.23
38,Dong Hoi,VN,2021-12-17 04:31:31,17.4833,106.6,74.44,77,99,15.23
39,Busselton,AU,2021-12-17 04:31:31,-33.65,115.3333,70.09,43,74,17.72
40,Dunda,TZ,2021-12-17 04:31:31,-8.1167,34.25,70.93,78,99,2.82
41,Lakota,CI,2021-12-17 04:31:32,5.8528,-5.6883,71.24,99,78,1.81
42,Luderitz,NA,2021-12-17 04:26:31,-26.6481,15.1594,60.89,70,76,9.1
43,Hobart,AU,2021-12-17 04:31:32,-42.8794,147.3294,77.11,51,75,1.01
44,Ilulissat,GL,2021-12-17 04:26:36,69.2167,-51.1,15.82,73,75,9.22
45,La Ronge,CA,2021-12-17 04:23:59,55.1001,-105.2842,-14.55,76,40,2.3
46,Holme,DK,2021-12-17 04:32:33,56.1138,10.1725,41.65,94,27,12.26
47,Hengshui,CN,2021-12-17 04:32:33,37.7322,115.7011,32.54,11,0,6.35
48,Nikolskoye,RU,2021-12-17 04:22:49,59.7035,30.7861,33.69,95,43,6.87
49,Ushuaia,AR,2021-12-17 04:32:34,-54.8,-68.3,44.26,93,90,0.0
50,Barrow,US,2021-12-17 04:26:33,71.2906,-156.7887,-9.38,77,90,28.77
51,Natal,BR,2021-12-17 04:32:00,-5.795,-35.2094,80.82,83,40,6.91
52,Trang,TH,2021-12-17 04:32:34,7.5,99.5,76.95,100,40,0.0
53,Port Hardy,CA,2021-12-17 04:32:35,50.6996,-127.4199,37.76,93,75,4.61
54,Geraldton,AU,2021-12-17 04:26:37,-28.7667,114.6,76.12,53,75,16.11
55,Kousseri,CM,2021-12-17 04:32:35,12.0769,15.0306,65.46,30,46,11.48
56,Nome,US,2021-12-17 04:32:35,64.5011,-165.4064,21.27,93,90,16.11
57,Clyde River,CA,2021-12-17 04:31:31,70.4692,-68.5914,-23.57,76,60,0.0
58,Ancud,CL,2021-12-17 04:29:07,-41.8697,-73.8203,51.33,84,0,4.36
59,Ecija,ES,2021-12-17 04:32:36,37.5422,-5.0826,53.31,74,56,6.91
60,Rio Grande,BR,2021-12-17 04:22:45,-32.035,-52.0986,66.94,88,23,15.97
61,Severo-Kurilsk,RU,2021-12-17 04:31:26,50.6789,156.125,23.0,76,97,6.85
62,Tamandare,BR,2021-12-17 04:32:36,-8.7597,-35.1047,76.96,85,21,7.58
63,Upernavik,GL,2021-12-17 04:32:37,72.7868,-56.1549,-0.98,93,100,2.77
64,Butaritari,KI,2021-12-17 04:32:37,3.0707,172.7902,82.22,76,73,10.63
65,Cidreira,BR,2021-12-17 04:32:38,-30.1811,-50.2056,66.9,91,46,8.21
66,Avarua,CK,2021-12-17 04:32:38,-21.2078,-159.775,80.65,74,20,9.22
67,Aklavik,CA,2021-12-17 04:32:38,68.2191,-135.0107,-19.37,91,100,14.63
68,Khatanga,RU,2021-12-17 04:31:28,71.9667,102.5,-14.06,99,100,3.58
69,Plettenberg Bay,ZA,2021-12-17 04:29:03,-34.0527,23.3716,55.71,78,34,10.92
70,Harnosand,SE,2021-12-17 04:32:39,62.6323,17.9379,39.99,70,8,24.0
71,Kirakira,SB,2021-12-17 04:22:54,-10.4544,161.9205,84.7,72,100,3.67
72,Fortuna,US,2021-12-17 04:24:00,40.5982,-124.1573,43.2,58,17,4.54
73,San Juan,AR,2021-12-17 04:32:39,-31.5375,-68.5364,79.72,49,8,19.48
74,Adrar,MR,2021-12-17 04:22:44,20.5022,-10.0711,70.81,23,100,6.46
75,Bluff,NZ,2021-12-17 04:32:40,-46.6,168.3333,53.8,76,62,26.53
76,Ribeira Grande,PT,2021-12-17 04:23:59,38.5167,-28.7,62.44,70,82,28.21
77,Laguna,US,2021-12-17 04:32:40,38.421,-121.4238,47.05,89,1,1.99
78,Nargana,PA,2021-12-17 04:32:41,9.4428,-78.5906,79.88,87,66,9.78
79,Sagara,JP,2021-12-17 04:32:41,34.6833,138.2,60.39,55,20,24.16
80,Neiafu,TO,2021-12-17 04:32:41,-18.65,-173.9833,84.88,70,20,9.22
81,Beringovskiy,RU,2021-12-17 04:23:57,63.05,179.3167,-11.2,99,94,6.64
82,Uvelskiy,RU,2021-12-17 04:32:42,54.4446,61.3574,21.72,93,100,6.02
83,Puerto Ayora,EC,2021-12-17 04:32:42,-0.7393,-90.3518,69.55,95,78,3.0
84,Mahebourg,MU,2021-12-17 04:22:52,-20.4081,57.7,80.89,69,40,8.05
85,Lompoc,US,2021-12-17 04:23:57,34.6391,-120.4579,52.79,86,40,0.0
86,Port Alfred,ZA,2021-12-17 04:32:43,-33.5906,26.891,61.86,49,62,9.24
87,Kahului,US,2021-12-17 04:24:01,20.8947,-156.47,75.85,87,40,18.41
88,Mount Isa,AU,2021-12-17 04:25:14,-20.7333,139.5,103.77,20,2,8.05
89,Urumqi,CN,2021-12-17 04:28:02,43.801,87.6005,11.35,92,90,2.24
90,Saint-Philippe,RE,2021-12-17 04:33:43,-21.3585,55.7679,82.47,77,59,9.1
91,Ahipara,NZ,2021-12-17 04:32:48,-35.1667,173.1667,67.14,68,35,13.71
92,Cherskiy,RU,2021-12-17 04:33:12,68.75,161.3,-17.37,98,100,2.1
93,Waingapu,ID,2021-12-17 04:33:44,-9.6567,120.2641,89.31,60,41,8.52
94,Belcista,MK,2021-12-17 04:33:44,41.3028,20.8303,26.29,88,17,5.26
95,Cayenne,GF,2021-12-17 04:33:45,4.9333,-52.3333,80.1,87,95,1.99
96,Saldanha,ZA,2021-12-17 04:33:45,-33.0117,17.9442,63.77,57,0,15.59
